, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
0,1.0,0.0,0.0,0.0,0.0,0.0,0.532,0.478,0.738,0.8,0.52,0.41200000000000003
1,0.0,1.0,0.0,0.0,0.0,0.0,0.55,0.488,0.5720000000000001,0.41200000000000003,0.52,0.765
2,0.0,0.0,1.0,0.0,0.0,0.0,0.693,0.63,0.703,0.757,0.44,0.376
3,0.0,0.0,0.0,1.0,0.0,0.0,0.324,0.256,0.8,0.7559999999999999,0.36,0.271
4,0.0,0.0,0.0,0.0,1.0,0.0,0.327,0.307,0.43200000000000005,0.209,0.72,0.447
5,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.2,0.491,0.429,0.2,0.235
6,0.5,0.5,0.0,0.0,0.0,0.0,0.8,0.8,0.36,0.375,0.76,0.7290000000000001
7,0.5,0.0,0.5,0.0,0.0,0.0,0.652,0.594,0.7240000000000001,0.797,0.48,0.376
8,0.0,0.5,0.5,0.0,0.0,0.0,0.7509999999999999,0.721,0.45399999999999996,0.418,0.56,0.765
9,0.5,0.0,0.0,0.5,0.0,0.0,0.585,0.5870000000000001,0.439,0.46,0.64,0.376
10,0.0,0.5,0.0,0.5,0.0,0.0,0.627,0.574,0.564,0.473,0.56,0.7290000000000001
11,0.0,0.0,0.5,0.5,0.0,0.0,0.68,0.638,0.563,0.5539999999999999,0.6,0.518
12,0.5,0.0,0.0,0.0,0.5,0.0,0.536,0.511,0.48200000000000004,0.396,0.64,0.5529999999999999
13,0.0,0.5,0.0,0.0,0.5,0.0,0.456,0.44299999999999995,0.4,0.218,0.48,0.8
14,0.0,0.0,0.5,0.0,0.5,0.0,0.561,0.539,0.45799999999999996,0.364,0.64,0.518
15,0.0,0.0,0.0,0.5,0.5,0.0,0.298,0.266,0.55,0.415,0.52,0.341
16,0.5,0.0,0.0,0.0,0.0,0.5,0.43,0.474,0.35700000000000004,0.41600000000000004,0.6,0.341
17,0.0,0.5,0.0,0.0,0.0,0.5,0.605,0.612,0.374,0.344,0.56,0.6940000000000001
18,0.0,0.0,0.5,0.0,0.0,0.5,0.527,0.544,0.426,0.462,0.44,0.48200000000000004
19,0.0,0.0,0.0,0.5,0.0,0.5,0.349,0.35600000000000004,0.515,0.537,0.36,0.306
20,0.0,0.0,0.0,0.0,0.5,0.5,0.312,0.31,0.40299999999999997,0.24,0.4,0.341
21,0.33299999999999996,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0,0.7859999999999999,0.76,0.47200000000000003,0.49200000000000005,0.64,0.765
